code,name,descr
EE,,( EU )
%,P1,Percentage ( % )
%O,,Per mille ( %O )
1,C62,One ( One )
10,DAY,Days ( d )
22S,C17,Square millimeter/second ( mm2/s )
2M,2M,Centimeter/second ( cm/s )
2X,2X,Meter/Minute ( m/min )
4G,4G,Microliter ( µl )
4O,4O,Microfarad ( µF )
4T,4T,Pikofarad ( pF )
A,AMP,Ampere ( A )
A87,A87,Gigaohm ( GOhm )
A93,A93,Gram/Cubic meter ( g/m3 )
ACR,ACR,Acre ( acre )
B34,B34,Kilogram/cubic decimeter ( kg/dm3 )
B45,B45,Kilomol ( kmol )
B47,B47,Kilonewton ( ND )
B73,B73,Meganewton ( MN )
B75,B75,Megohm ( MOhm )
B78,B78,Megavolt ( MV )
B84,B84,Microampere ( µA )
BAG,BG,Bag ( Bag )
BAR,BAR,bar ( bar )
bbl,bbl,British Thermal Unit/US Barrel ( Bt/bbl )
bft,B0,British Thermal Unit/Cubic Ft ( Bt/ft3 )
bgl,bgl,British Thermal Unit/US Gallon ( Bt/gal )
BOT,BO,Bottle ( Bt. )
BPM,BPM,Bottles per minute ( BPM )
BQK,A18,Becquerel/kilogram ( Bq/kg )
btl,btl,British Thermal Unit/US Pound ( Btu/lb )
BU,BU,Bushel ( BU )
C10,C10,Millifarad ( mF )
C36,C36,Mol per cubic meter ( mol/m3 )
C38,C38,Mol per liter ( Mol/l )
C39,C39,Nanoampere ( nA )
C3S,2J,Cubic centimeter/second ( cm3/s )
C41,C41,Nanofarad ( nF )
C56,C56,Newton/Square millimeter ( N/mm2 )
CAL,3B,kilocalories ( KCAL )
CCM,CMQ,Cubic centimeter ( cm3 )
CD,CDL,Candela ( cd )
CDM,DMQ,Cubic decimeter ( dm3 )
CM,CMT,Centimeter ( cm )
CM2,CMK,Square centimeter ( cm2 )
CMH,,Centimeter/hour ( cm/h )
CS,CS,Case ( Case )
CTL,CTL,Centiliter ( Cl )
D10,D10,Siemens per meter ( S/m )
D41,D41,Ton/Cubic meter ( t/m3 )
D46,D46,Voltampere ( VAM )
DEG,DD,Degree ( deg )
DM,DMT,Decimeter ( dm )
DR,DR,Drum ( Dr )
DZ,DZN,Dozen ( dz )
EA,EA,each (ST) ( ST )
EML,EML,Enzyme Units / Milliliter ( EU/ml )
F,FAR,Farad ( F )
FA,FAH,Fahrenheit ( °F )
FT,FOT,Foot ( Foot )
FT2,FTK,Square foot ( ft2 )
FT3,FTQ,Cubic foot ( ft3 )
G,GRM,Gram ( g )
G/L,G/L,gram act.ingrd / liter ( gai/l )
G/T,G/T,Gram Active Ingredient/To ( gai/To )
GAG,GAG,Gram Silver ( GAG )
GAU,GAU,Gram Gold ( GAU )
GC,CEL,Degrees Celsius ( °C )
GHG,GHG,Gram/hectogram ( g/hg )
GJ,GV,Gigajoule ( GJ )
gj3,gj3,Gigajoule/1000 Cubic Meters ( GJ/tm3 )
gjm,gjm,Gigajoule/Cubic Meter ( GJ/m3 )
gjt,gjt,Gigajoule/US Tonne ( GJ/ton )
GKG,GKG,Gram/kilogram ( g/kg )
GLI,GL,Gram/liter ( g/l )
GLL,GLL,US gallon ( gal US )
GLM,,Gallons per mile (US) ( GPM US )
GM,,Gram/Mol ( g/mol )
GM2,GM,Gram/square meter ( g/m2 )
GPH,G50,Gallons per hour (US) ( GPH US )
GQ,GQ,Microgram/cubic meter ( µg/m3 )
GRO,GRO,Gross ( gro )
GW,A90,Gram act. ingrd. ( gai )
H,HUR,Hour ( h )
HAR,HAR,Hectare ( Hectar )
HL,HLT,Hectoliter ( hl )
HPA,A97,Hectopascal ( hPa )
HR,HR,Hours ( HOU )
HZ,HTZ,Hertz (1/second) ( Hz )
IN,INH,Inch ( " )
IN2,INK,Square inch ( Inch2 )
IN3,INQ,Cubic inch ( Inch3 )
IU,IU,International Unit ( IU )
J,JOU,Joule ( J )
JHR,ANN,Years ( yr )
JKG,JKG,Joule/Kilogram ( J/kg )
JKK,B11,Spec. Heat Capacity ( J/kgK )
jm3,JM3,Joule/Cubic Meter ( J/m3 )
JMO,B15,Joule/Mol ( J/mol )
K,KEL,Kelvin ( K )
KA,B22,Kiloampere ( kA )
KAN,CA,Canister ( Can )
KAR,CT,Carton ( Car )
KBK,B25,Kilobecquerel/kilogram ( kBq/kg )
KG,KGM,kg ( KG )
kgb,kgb,Kilogram/US Barrel ( kg/bbl )
KGF,28,Kilogram/Square meter ( kg/m2 )
kgj,kgj,Kilogram/Joule ( kg/J )
KGK,M29,Kilogram/Kilogram ( kg/kg )
kgm,,Kilogram/Million BTU ( kg/MB )
KGM,,Kilogram/Mol ( kg/mol )
kgs,,Kilogram/Standard Cubic Foot ( kg/scf )
KGS,KGS,Kilogram/second ( kg/s )
kgt,kgt,Kilogram/US Tonne ( kg/ton )
KGV,KMQ,Kilogram/cubic meter ( kg/m3 )
KGW,KGW,Kilogram act. ingrd. ( kgai )
KHZ,KHZ,Kilohertz ( kHz )
KI,BX,Crate ( Crate )
KJ,KJO,Kilojoule ( kJ )
KJK,KJK,Kilojoule/kilogram ( KJ/kg )
KJM,B44,Kilojoule/Mol ( KJ/mol )
KM,KMT,Kilometer ( km )
KM2,KMK,Square kilometer ( km2 )
KMH,KMH,Kilometer/hour ( km/h )
KMK,X02,Cubic meter/Cubic meter ( m3/m3 )
kml,kml,Kilogram/Kilogram Mole ( kg/kgm )
KMN,F11,Kelvin/Minute ( K/min )
KMS,F12,Kelvin/Second ( K/s )
KOH,B49,Kiloohm ( kOhm )
KPA,KPA,Kilopascal ( kPa )
KT,KTN,Kilotonne ( kt )
KV,KVT,Kilovolt ( kV )
KVA,KVA,Kilovoltampere ( kVA )
KW,KWT,Kilowatt ( KW )
KWH,KWH,Kilowatt hours ( kwh )
KWK,KWK,kg act.ingrd. / kg ( kai/kg )
L,LTR,Liter ( l )
L2,L2,Liter/Minute ( l/min )
LB,LBR,US pound ( lb )
lbb,lbb,US Pound/British Thermal Unit ( lb/Btu )
lbg,GE,US Pound/US Gallon ( lb/gal )
lbl,lbl,US Pound/US Pound Mole ( lb/lbm )
lbm,lbm,US Pound/Million BTU ( lb/MB )
lbs,87,US Pound/Standard Cubic Foot ( lb/scf )
lbt,lbt,US Pound/US Tonne ( lb/ton )
LE,C62,Activity unit ( AU )
LHK,LHK,Liter per 100 km ( l/hkm )
LMS,LMS,Liter/Molsecond ( l/m_.s )
LPH,LPH,Liter per hour ( L/hr )
M%,M%,Percent mass ( %(m) )
M%O,M%O,Permille mass ( %O(m) )
M,M,Meter ( m )
M/S,MTS,Meter/second ( m/s )
M2,MTK,Square meter ( m2 )
M2I,M2I,1 / square meter ( 1/M2 )
M2S,S4,Square meter/second ( m2/s )
M3,MTQ,Cubic meter ( m3 )
M3D,G52,Cubic meter/day ( m3/d )
M3S,MQS,Cubic meter/second ( m3/s )
MA,4K,Milliampere ( mA )
MBA,MBR,Millibar ( mbar )
mbb,mbb,Million BTU/US Barrel ( MB/bbl )
MBL,MIL,MBL ( MBL )
MBT,,-8
mbt,mbt,Million BTU/US Tonne ( MB/ton )
MBZ,MBZ,Meterbar/second ( m.b_/s )
MEJ,3B,Megajoule ( MJ )
MG,MGM,Milligram ( mg )
MGF,H63,Milligram/Square centimeter ( mg/cm2 )
MGG,MGG,Milligram/gram ( mg/g )
MGK,NA,Milligram/kilogram ( mg/kg )
MGL,M1,Milligram/liter ( mg/l )
MGQ,GP,Milligram/cubic meter ( mg/m3 )
MGW,MAW,Megawatt ( VA )
MHZ,MHZ,Megahertz ( MHz )
MI,SMI,Mile ( mile )
MI2,MIK,Square mile ( Mile2 )
MIM,4H,Micrometer ( µm )
MIN,MIN,Minute ( min )
MIS,B98,Microsecond ( µs )
MJ,C15,Millijoule ( mJ )
ML,MLT,Milliliter ( ml )
MLK,MLK,Milliliter/cubic meter ( ml/m3 )
MLW,MLW,Milliliter act. ingr. ( mlai )
MM,MMT,Millimeter ( mm )
MM2,MMK,Square millimeter ( mm2 )
MMA,H66,Millimeter/year ( mm/a )
MMG,H68,Millimol/gram ( mmol/g )
MMH,H67,Millimeter/hour ( mm/h )
MMK,D87,Millimol/kilogram ( m_/kg )
MMO,C18,Millimol ( mmol )
MMQ,MMQ,Cubic millimeter ( mm3 )
MMS,C16,Millimeter/second ( mm/s )
MNM,C22,Millinewton/meter ( mN/m )
MOK,C19,Mol/kilogram ( mol/kg )
MOL,C34,Mol ( mol )
MON,MON,Months ( Months )
