code,name,descr
USA,Estados Unidos,Estados Unidos de América
MEX,México,Estados Unidos Mexicanos
BRA,Brasil,República Federativa de Brasil
ARG,Argentina,República Argentina
COL,Colombia,República de Colombia
PER,Perú,República del Perú
CHL,Chile,República de Chile
ECU,Ecuador,República del Ecuador
VEN,Venezuela,República Bolivariana de Venezuela
CAN,Canadá,Canadá
ESP,España,Reino de España
FRA,Francia,República Francesa
DEU,Alemania,República Federal de Alemania
ITA,Italia,República Italiana
GBR,Reino Unido,Reino Unido de Gran Bretaña e Irlanda del Norte
JPN,Japón,Estado de Japón
CHN,China,República Popular China
IND,India,República de la India
AUS,Australia,Mancomunidad de Australia
RUS,Rusia,Federación de Rusia
